,Feature,Importance
0,Hdb_h,0.24112763
1,Bng_h,0.14748986
2,Ruw_h,0.13564365
3,Kau_h,0.05453318
4,Fra_h,0.042021997
5,Klk_h,0.024813693
6,sbs_prep_3,0.016772663
7,Rhw_h,0.014562314
8,Ruw_diff,0.014538938
9,sbs_prep_3_lag1,0.012835252
10,sbs_prep_5,0.012138103
11,Stg_h,0.010972645
12,sbs_prep_7,0.010815372
13,sbs_prep_4,0.009438092
14,Ruw_h_lag1,0.00828085
15,Sie_h,0.0066423994
16,Sie_diff,0.005925028
17,sbs_temp_10,0.005670042
18,sbs_prep_9,0.0049875733
19,sbs_prep_7_lag1,0.0047640046
20,Ruw_h_lag5,0.0043188147
21,sbs_temp_11,0.004260964
22,Rhw_diff,0.0040016198
23,sbs_prep_1,0.0036910141
24,Fra_h_lag5,0.0034278245
