,Feature,Importance
0,Ruw_h,0.09400041
1,Hdb_h,0.067982785
2,Ruw_h_lag1,0.04920434
3,Bng_h_lag1,0.047233704
4,Fra_h,0.038258273
5,Bng_h,0.028416622
6,Stg_h,0.027541308
7,Kau_h,0.0241669
8,Bng_h_lag3,0.021162525
9,sbs_prep_3,0.013533117
10,sbs_prep_6_lag1,0.011299506
11,sbs_prep_7,0.010961382
12,sbs_prep_1_lag1,0.009685635
13,Kau_h_lag3,0.0091276765
14,sbs_prep_4,0.008479009
15,Hdb_h_lag1,0.00823974
16,sbs_prep_1,0.007902105
17,Ruw_h_lag3,0.0077312174
18,Ruw_h_lag5,0.0076886127
19,Fra_h_lag1,0.007076503
20,Rhw_h,0.0068657068
21,sbs_prep_3_lag1,0.0057578
22,sbs_prep_7_lag1,0.0056587784
23,Kau_h_lag5,0.0056401994
24,sbs_rad_3_lag1,0.0055523603
